language,type,metric,model,n_rows,n_cases,status,reml_loglike,resid_var,rand_intercept_var,estimate_lvl,se_lvl,z_or_t_lvl,p_lvl,p_lvl_fdr_bh,sig_fdr_bh
english,modify,rouge_2,,15,5,ok,10.518441170794606,0.005830353502623396,0.0032619033859951755,-0.11231227783363242,0.024146124953340644,-4.651358263516891,3.2975587959262497e-06,6.108592523601086e-06,True
english,modify,rouge_3,,15,5,ok,9.383881058719396,0.006460053914593302,0.005134493069502093,-0.12702838978873565,0.025416636116121466,-4.997844294122111,5.797476676269913e-07,1.1803871430963968e-06,True
english,modify,rouge_4,,15,5,ok,8.231814340834866,0.0072381685851352845,0.007624971283029121,-0.1389842144548119,0.02690384467903293,-5.16596107779075,2.3920656943436726e-07,5.005618952978426e-07,True
english,modify,rouge_l_score,,15,5,ok,13.007983583999398,0.004369176356402976,0.00141285202035552,-0.08976474205711878,0.02090257485670839,-4.294434665225468,1.751390467438617e-05,3.0447249664702112e-05,True
english,modify,Gemma3n E2B,,15,5,ok,-12.66532600912857,0.2794871792776625,2.378890959880658e-10,0.899999999999998,0.16717870058044548,5.383460912635356,7.306712003160676e-08,1.6189381497199145e-07,True
english,modify,Gemma3n E4B,,15,5,ok,-24.01699326663809,1.6025544316320877,2.1900521152180764e-05,3.3,0.4003191766118739,8.243422231055115,1.6735371208408265e-16,6.876716169273215e-16,True
english,modify,DeepSeek R1,,15,5,ok,-30.11802612954414,2.7888847397211625,2.314827058493741,4.299999999999998,0.5280989244186322,8.14241385689951,3.874741688742531e-16,1.557581605202123e-15,True
english,modify,gpt 3.5,,15,5,ok,-31.93477225416597,5.417914884088309,0.00011915869595206852,2.299999999999999,0.7360648669844464,3.1247246039914574,0.0017797159503038238,0.002285317072549228,True
english,modify,gpt 4,,15,5,ok,-32.63615131650355,5.796779121607738,0.2706379078084645,5.4,0.7613658201947167,7.092516969856841,1.3169448578452217e-12,4.191965322155213e-12,True
english,modify,gpt-4.1,,15,5,ok,-22.88403613608191,1.3461372319332117,0.00010386163225052765,3.0999999999999956,0.3668974287090616,8.44922792429325,2.932355093218183e-17,1.352473981770019e-16,True
